id,country,segment,signup_date
1,USA,consumer,2022-06-06
2,Brazil,consumer,2021-08-02
3,Sweden,mid-market,2022-05-06
4,,consumer,2022-07-13
5,Spain,consumer,2023-01-15
6,Japan,consumer,2023-12-09
7,Spain,enterprise,2023-10-17
8,Sweden,smb,2021-12-02
9,Italy,smb,2024-08-22
10,USA,enterprise,2024-07-31
11,Brazil,mid-market,2023-04-29
12,,smb,2021-10-21
13,Canada,consumer,2022-04-12
14,Netherlands,mid-market,2022-07-19
15,Spain,consumer,2022-10-09
16,Italy,smb,2024-06-23
17,,consumer,2023-08-03
18,UK,smb,2024-08-08
19,UK,smb,2021-11-14
20,,consumer,2021-11-25
21,,consumer,2023-11-19
22,Japan,smb,2023-09-29
23,France,smb,2023-08-24
24,Japan,consumer,2021-05-05
25,Spain,consumer,2022-12-15
26,Brazil,enterprise,2021-11-08
27,France,smb,2023-02-12
28,Spain,smb,2022-02-10
29,Japan,consumer,2022-10-18
30,UK,smb,2023-10-20
31,France,smb,2021-05-24
32,Brazil,consumer,2022-01-25
33,France,smb,2021-10-29
34,UK,mid-market,2021-02-08
35,Italy,mid-market,2023-12-03
36,Brazil,enterprise,2024-07-21
37,Netherlands,enterprise,2022-07-31
38,Sweden,smb,2023-08-11
39,Australia,consumer,2023-03-03
40,USA,consumer,2023-12-24
41,Spain,enterprise,2023-04-27
42,USA,smb,2023-05-04
43,USA,mid-market,2023-07-06
44,Germany,consumer,2021-12-07
45,Netherlands,mid-market,2022-07-15
46,Australia,consumer,2023-01-05
47,Japan,mid-market,2024-06-20
48,Netherlands,consumer,2022-08-17
49,Japan,smb,2024-03-20
50,Germany,consumer,2023-08-29
51,Australia,mid-market,2023-04-03
52,Australia,consumer,2024-05-09
53,France,smb,2023-05-10
54,Italy,consumer,2023-11-06
55,Japan,consumer,2021-07-02
56,Italy,consumer,2021-06-18
57,Australia,mid-market,2024-11-26
58,Canada,mid-market,2022-07-01
59,Italy,mid-market,2022-05-06
60,USA,mid-market,2023-05-27
61,Spain,smb,2023-01-13
62,Germany,consumer,2021-09-28
63,Italy,consumer,2023-05-27
64,Netherlands,smb,2024-08-30
65,Italy,consumer,2023-06-04
66,Germany,consumer,2023-11-25
67,UK,consumer,2023-05-20
68,Sweden,mid-market,2023-12-30
69,USA,smb,2024-04-26
70,Germany,consumer,2020-12-15
71,Australia,mid-market,2024-05-27
72,France,smb,2022-01-30
73,Spain,consumer,2022-01-13
74,Germany,consumer,2022-06-08
75,France,consumer,2021-04-03
76,Italy,consumer,2024-11-25
77,Brazil,mid-market,2023-09-16
78,Germany,mid-market,2024-03-07
79,USA,smb,2022-08-07
80,France,smb,2022-05-13
81,Netherlands,smb,2021-04-23
82,Australia,consumer,2023-05-24
83,Germany,smb,2023-12-22
84,UK,consumer,2021-03-15
85,Spain,mid-market,2022-03-19
86,Spain,mid-market,2021-11-04
87,Germany,mid-market,2023-02-17
88,USA,mid-market,2023-02-14
89,Brazil,consumer,2023-05-11
90,Spain,smb,2021-11-27
91,Spain,mid-market,2024-01-28
92,,consumer,2020-12-30
