id,order_id,product_id,quantity,unit_price
1,1,197,1,1959.53
2,1,111,2,1394.33
3,2,187,5,116.57
4,2,87,2,759.22
5,3,85,1,1367.45
6,3,40,2,159.34
7,3,80,1,1501.99
8,4,199,2,1563.15
9,4,1,1,1649.95
10,5,140,1,202.39
11,5,168,3,278.08
12,5,85,1,1548.36
13,6,187,2,116.57
14,6,85,1,1548.36
15,6,165,4,1843.44
16,6,1,3,1818.9
17,7,48,2,1050.45
18,7,85,5,1376.39
19,7,56,1,1350.71
20,7,88,4,181.42
21,8,40,4,163.25
22,9,199,3,1405.32
23,10,187,2,116.57
24,10,170,1,60.89
25,10,96,5,374.13
26,11,85,2,1548.36
27,12,48,3,954.41
28,12,187,1,108.27
29,12,179,1,1752.38
30,13,187,1,116.57
31,14,46,2,482.9
32,15,88,1,206.14
33,16,56,5,1350.71
34,17,124,2,1912.09
35,18,88,1,206.14
36,18,25,1,101.44
37,18,71,1,524.64
38,18,40,1,173.68
39,19,185,1,1150.61
40,20,85,2,1548.36
41,21,136,2,1612.44
42,22,21,2,1176.1
43,23,152,2,1737.5
44,23,24,3,842.71
45,24,187,1,116.57
46,24,4,2,1938.94
47,24,85,2,1548.36
48,25,88,1,206.14
49,25,187,1,102.42
50,26,187,2,116.57
51,27,85,1,1353.05
52,27,179,1,1752.38
53,27,171,1,128.74
54,28,187,1,116.57
55,29,25,2,101.44
56,30,187,4,116.57
57,31,85,3,1415.55
58,32,85,5,1548.36
59,33,1,2,1719.0
60,34,85,1,1548.36
61,35,187,3,99.3
62,36,185,3,1150.61
63,36,60,3,1541.69
64,37,85,2,1393.16
65,37,17,5,1521.63
66,37,187,1,116.57
67,37,4,1,1938.94
68,38,15,2,369.19
69,38,181,1,105.12
70,39,187,1,116.57
71,39,166,1,308.12
72,39,40,3,182.89
73,40,56,1,1350.71
74,40,75,1,345.09
75,40,72,2,922.62
76,40,187,1,116.57
77,41,85,1,1548.36
78,41,133,3,1768.18
79,42,25,1,88.4
80,43,85,1,1548.36
81,44,74,1,1873.3
82,44,197,1,1728.55
83,44,40,3,182.89
84,45,88,1,187.04
85,45,187,1,116.57
86,46,1,1,1580.46
87,46,56,1,1265.74
88,47,42,5,991.09
89,47,85,2,1548.36
90,48,135,1,1752.0
91,49,130,1,228.78
92,49,188,1,759.13
93,49,133,2,1933.11
94,50,197,1,1959.53
95,50,36,1,64.17
96,51,187,1,116.57
97,51,17,1,1521.63
98,52,60,1,1423.03
