id,customer_id,order_date,status,total_amount
1,108,2023-05-25,completed,79.09
2,929,2023-01-25,shipped,1297.56
3,786,2024-04-02,pending,851.99
4,527,2024-05-13,completed,699.61
5,520,2024-07-18,completed,912.24
6,1031,2024-11-24,completed,85.63
7,104,2023-12-30,pending,492.99
8,837,2024-08-28,shipped,336.32
9,242,2024-06-06,shipped,658.95
10,114,2023-07-22,completed,677.07
11,632,2024-09-08,completed,884.23
12,1171,2023-02-08,completed,983.08
13,883,2024-03-13,completed,91.16
14,914,2024-11-17,shipped,498.5
15,861,2024-04-26,completed,592.42
16,944,2024-11-15,completed,182.12
17,616,2023-02-10,completed,162.98
18,154,2024-01-24,completed,139.5
19,1008,2024-07-23,completed,1088.34
20,541,2024-04-13,completed,110.95
21,601,2024-10-04,cancelled,133.94
22,445,2023-12-04,pending,638.13
23,220,2024-05-13,cancelled,805.93
24,1113,2023-11-03,shipped,577.97
25,938,2024-09-28,shipped,77294.09
26,773,2023-03-29,completed,166.82
27,483,2023-07-05,completed,624.44
28,988,2023-03-12,completed,528.61
29,655,2024-05-27,completed,425.07
30,533,2023-06-19,completed,1054.43
31,541,2023-08-20,completed,501.09
32,273,2024-09-02,cancelled,151.67
33,111,2023-09-20,completed,427.22
34,666,2023-04-17,completed,874.1
35,1066,2023-01-16,completed,476.65
36,77,2023-06-15,completed,862.78
37,1030,2024-10-29,cancelled,990.23
38,994,2024-02-05,completed,502.48
39,333,2024-12-27,cancelled,575.82
40,758,2023-06-07,pending,452.07
41,199,2023-09-14,completed,876.81
42,910,2023-04-30,completed,440.44
43,841,2023-10-18,completed,814.8
44,426,2024-02-16,completed,685.64
45,82,2024-08-12,completed,78.42
46,1165,2023-09-26,refunded,
47,535,2024-07-17,completed,637.99
48,1072,2024-04-02,pending,1371.57
49,814,2023-08-02,Completed,191.05
50,935,2024-10-27,refunded,694.17
51,912,2023-11-13,completed,389.46
52,234,2023-04-21,completed,90.39
53,437,2024-12-03,completed,59.4
54,561,2024-10-28,completed,1564.53
55,598,2023-02-06,pending,695.88
56,53,2024-10-20,completed,488.81
57,656,2024-11-22,completed,
58,186,2024-08-28,completed,1501.56
59,893,2023-07-06,completed,306.12
60,820,2024-04-05,completed,720.85
61,1108,2024-01-28,completed,618.81
62,894,2024-03-28,completed,1994.24
63,440,2024-03-26,completed,564.87
64,1162,2024-04-11,completed,368.72
65,494,2024-01-11,cancelled,703.87
66,391,2024-05-19,completed,762.15
67,1087,2024-01-20,shipped,2940.12
68,445,2023-01-13,Completed,557.35
69,92,2023-01-26,completed,184.52
70,564,2024-11-30,completed,425.18
71,955,2024-10-25,completed,702.68
72,228,2024-03-03,completed,
73,556,2023-05-08,Completed,110.9
74,156,2024-07-24,completed,383.3
75,824,2023-04-15,refunded,1916.37
76,571,2023-10-03,completed,253.31
77,397,2023-08-29,completed,1072.0
78,273,2023-01-10,completed,437.41
79,678,2024-08-12,completed,583.55
80,804,2024-01-08,shipped,
81,1129,2023-08-19,completed,473.4
82,525,2024-01-06,completed,696.15
83,193,2023-01-01,completed,562.92
84,1000,2023-11-16,completed,498.0
85,756,2024-01-15,cancelled,880.03
86,841,2023-09-05,completed,166.24
87,117,2024-08-29,pending,720.95
88,375,2023-07-02,completed,52.92
89,922,2023-04-11,cancelled,1287.19
90,999,2024-01-21,Completed,511.71
91,523,2024-10-09,completed,1021.66
92,966,2023-10-01,PENDING,13.38
93,1011,2023-02-04,completed,920.73
94,465,2024-12-09,completed,296.44
95,1078,2023-11-21,refunded,586.6
96,346,2023-05-07,completed,931.34
97,288,2024-03-25, shipped,544.77
98,819,2023-08-22,shipped,852.83
99,765,2024-11-15,pending,442.8
100,168,2023-08-03,cancelled,1357.79
101,1000,2024-02-06,completed,510.57
102,240,2024-02-01,completed,518.9
103,966,2023-06-26,completed,526.66
104,9,2023-12-31,completed,574.01
105,957,2023-03-21,pending,174.91
106,945,2024-04-14,completed,245.74
107,937,2024-07-07,completed,1129.66
108,798,2024-11-24,completed,1021.23
109,566,2023-08-26,completed,975.44
110,847,2023-07-28,pending,797.23
111,333,2024-02-05,Completed,375.62
112,937,2024-05-20,completed,343.38
113,667,2024-12-25,pending,555.25
114,551,2023-01-19,cancelled,1253.42
115,607,2023-06-23,completed,666.66
116,683,2023-07-11,cancelled,234.31
117,45,2023-07-06,completed,138.93
118,168,2023-12-05,pending,1043.92
119,295,2024-09-29,completed,1529.26
120,138,2023-01-23,completed,
121,528,2024-08-18,shipped,1068.52
122,803,2024-03-26,completed,783.6
123,786,2024-03-25,completed,287.45
124,566,2024-05-10,completed,673.33
125,1027,2023-03-26,completed,199.19
126,679,2024-06-29,completed,479.79
127,96,2023-07-01,completed,579.41
128,918,2024-01-13,completed,1348.91
129,690,2024-05-09,cancelled,461.05
130,762,2024-03-16,refunded,316.65
131,679,2023-08-24,completed,
132,665,2023-10-17,completed,869.39
133,109,2023-12-14,completed,306.47
134,672,2023-01-31,completed,225.76
135,954,2024-06-14,cancelled,244.55
136,365,2023-03-14,Completed,1352.15
137,724,2023-12-01,completed,842.16
138,37,2024-04-23,completed,436.67
139,417,2023-02-28,completed,1200.34
140,525,2024-12-27,cancelled,304.37
141,1180,2023-10-03,shipped,538.28
142,258,2023-01-12,completed,195.93
143,332,2024-04-25,completed,1164.51
144,491,2024-02-12,cancelled,282.87
145,1192,2024-04-12,completed,288.66
146,1025,2024-07-02,pending,752.77
147,42,2023-12-14,Cancelled ,46.12
148,281,2024-08-26,completed,155.3
149,987,2023-09-28,Cancelled ,953.36
150,70,2024-02-02,Completed,241.13
151,1027,2023-04-26,shipped,2428.77
152,338,2024-03-28,completed,647.07
153,1102,2023-07-10,completed,95.93
154,353,2024-05-23,completed,1581.43
155,522,2024-08-07,completed,646.54
156,795,2024-09-19,completed,489.75
157,152,2024-11-09,completed,644.75
158,669,2023-03-31,completed,94.99
159,607,2023-04-11,completed,552.24
160,941,2024-11-07,completed,257.44
161,1196,2023-10-06,refunded,525.81
162,798,2023-01-19,cancelled,384.22
163,492,2023-07-29,completed,619.67
164,488,2024-09-02,completed,436.36
165,502,2023-09-17,shipped,363.64
166,977,2023-02-26, shipped,231.63
167,386,2024-06-11,completed,100.27
168,201,2023-05-23,pending,76.5
169,402,2023-09-15,completed,161.02
170,28,2023-01-03,completed,901.35
171,128,2024-03-15,shipped,219.24
172,109,2023-11-22,shipped,313.61
173,926,2024-09-24,pending,316.24
174,867,2023-09-02,completed,389.43
175,837,2023-05-30,completed,792.2
176,555,2023-05-02,completed,432.83
177,861,2023-05-27,completed,1024.66
178,194,2023-11-26,completed,163.0
179,1081,2023-03-05,Completed,949.54
180,602,2023-10-21,completed,1455.9
181,1126,2024-09-15,shipped,546.68
182,183,2024-07-14,completed,203.96
183,597,2024-04-10,completed,803.71
184,836,2024-10-13, shipped,554.32
185,595,2024-07-23,completed,702.78
186,536,2024-04-21,cancelled,1045.86
187,200,2024-09-22,completed,405.54
188,458,2023-04-01,completed,353.28
189,287,2024-08-20,cancelled,2746.29
190,362,2023-08-04,completed,811.34
191,821,2024-06-19,completed,1176.31
192,757,2024-10-28,shipped,
193,729,2023-12-29,completed,1186.52
194,435,2023-03-06,shipped,720.83
195,1152,2023-09-28,cancelled,1088.1
196,106,2023-10-25,refunded,315.35
197,412,2024-11-14,completed,97.26
